epoch,train_loss,val_loss,elapsed_s
0,4.037392e+00,0.000000e+00,101.6
1,8.984371e-02,0.000000e+00,204.1
2,7.558501e-02,0.000000e+00,306.2
3,7.082498e-02,0.000000e+00,408.4
4,6.672859e-02,0.000000e+00,509.4
5,6.215152e-02,0.000000e+00,611.2
6,6.263255e-02,0.000000e+00,714.1
7,5.459051e-02,0.000000e+00,817.6
8,5.162903e-02,0.000000e+00,921.9
9,5.215854e-02,0.000000e+00,1024.1
10,5.140969e-02,0.000000e+00,1127.6
11,5.009750e-02,0.000000e+00,1230.9
12,5.283850e-02,0.000000e+00,1334.8
13,5.130820e-02,0.000000e+00,1436.9
14,5.645718e-02,0.000000e+00,1540.6
15,5.657098e-02,0.000000e+00,1643.4
16,5.259987e-02,0.000000e+00,1743.8
17,5.516091e-02,0.000000e+00,1845.1
18,5.262829e-02,0.000000e+00,1946.8
19,5.500874e-02,0.000000e+00,2049.1
20,5.271613e-02,0.000000e+00,2152.0
21,5.305273e-02,0.000000e+00,2252.9
22,5.547180e-02,0.000000e+00,2355.7
23,5.226830e-02,0.000000e+00,2457.3
24,5.218008e-02,0.000000e+00,2558.7
25,5.417918e-02,0.000000e+00,2659.3
26,5.163441e-02,0.000000e+00,2759.9
27,5.042219e-02,0.000000e+00,2861.2
28,5.138007e-02,0.000000e+00,2964.5
29,5.013317e-02,0.000000e+00,3066.3
30,5.215906e-02,0.000000e+00,3168.3
31,5.125649e-02,0.000000e+00,3269.2
32,5.085634e-02,0.000000e+00,3370.2
33,5.030907e-02,0.000000e+00,3471.5
34,5.132136e-02,0.000000e+00,3574.7
35,5.025321e-02,0.000000e+00,3676.3
36,5.081896e-02,0.000000e+00,3778.0
37,4.995318e-02,0.000000e+00,3879.6
38,5.061727e-02,0.000000e+00,3980.8
39,5.026413e-02,0.000000e+00,4082.3
40,8.707443e-02,1.340029e-01,60.6
41,6.453798e-02,0.000000e+00,155.6
42,6.506714e-02,0.000000e+00,250.5
43,5.783765e-02,0.000000e+00,344.4
44,5.314954e-02,0.000000e+00,437.9
45,4.799565e-02,1.867250e-01,533.7
46,3.993957e-02,0.000000e+00,627.1
47,3.448178e-02,0.000000e+00,720.5
48,3.307086e-02,0.000000e+00,813.9
49,3.109367e-02,0.000000e+00,907.4
50,2.176657e-02,8.319984e-02,1003.2
51,2.094045e-02,0.000000e+00,79.6
52,2.427996e-02,0.000000e+00,172.9
53,2.718139e-02,0.000000e+00,267.1
54,2.734119e-02,0.000000e+00,360.6
55,1.505279e-02,7.224909e-02,456.9
56,1.512608e-02,0.000000e+00,549.3
57,9.409631e-03,0.000000e+00,642.7
58,6.724111e-03,0.000000e+00,735.5
59,8.571063e-03,0.000000e+00,828.3
60,6.701033e-03,1.726554e-02,924.8
61,6.308566e-03,0.000000e+00,1017.8
62,4.180652e-03,0.000000e+00,97.4
63,7.790974e-03,0.000000e+00,191.2
64,4.342756e-03,0.000000e+00,283.4
65,2.277029e-03,1.898435e-02,378.6
66,1.804139e-03,0.000000e+00,470.5
67,4.137675e-03,0.000000e+00,562.8
68,2.093592e-03,0.000000e+00,655.0
69,3.018303e-03,0.000000e+00,747.2
70,2.163188e-03,1.174566e-02,842.0
71,2.902720e-03,0.000000e+00,933.8
72,1.717867e-03,0.000000e+00,1025.7
73,6.384004e-03,0.000000e+00,1117.9
74,1.558874e-02,0.000000e+00,1210.2
75,7.066606e-03,2.742111e-02,1305.5
76,4.014764e-03,0.000000e+00,1398.5
77,1.556095e-03,0.000000e+00,1490.7
78,1.562355e-03,0.000000e+00,1582.6
