epoch,train_loss,val_loss,elapsed_s
0,1.654915e+01,1.792840e+01,1.9
1,8.457700e+00,0.000000e+00,3.1
2,1.555486e+00,1.724203e+00,4.9
3,1.283872e-01,0.000000e+00,425.4
4,6.021641e-02,0.000000e+00,856.3
5,3.763156e-02,7.342671e-02,1302.3
6,3.305327e-02,0.000000e+00,1714.2
7,2.487717e-02,0.000000e+00,2127.6
8,1.929499e-02,0.000000e+00,2542.5
9,1.606982e-02,0.000000e+00,2957.3
10,1.121397e-02,3.394868e-02,3393.1
11,1.427978e-02,0.000000e+00,3814.7
12,8.035020e-03,0.000000e+00,4236.8
13,7.761484e-03,0.000000e+00,4665.0
14,7.055251e-03,0.000000e+00,5095.5
15,7.812191e-03,1.223631e-02,5539.1
16,6.367527e-03,0.000000e+00,5964.0
17,6.401533e-03,0.000000e+00,6387.5
18,6.095547e-03,0.000000e+00,6815.9
19,5.867464e-03,0.000000e+00,7246.6
20,5.292500e-03,8.457756e-03,7689.8
21,5.158346e-03,0.000000e+00,8116.1
22,6.586976e-03,0.000000e+00,8544.1
23,4.358837e-03,0.000000e+00,8967.7
24,5.059788e-03,0.000000e+00,9386.2
25,4.785848e-03,1.097964e-02,9821.5
26,4.201362e-03,0.000000e+00,10232.3
27,3.950852e-03,0.000000e+00,10644.8
28,2.846718e-03,0.000000e+00,11057.0
29,4.455955e-03,0.000000e+00,11466.9
30,2.850435e-03,4.361891e-03,11892.3
31,3.366131e-03,0.000000e+00,12299.8
32,2.922628e-03,0.000000e+00,12709.0
33,2.415483e-03,0.000000e+00,13116.2
34,3.056997e-03,0.000000e+00,13524.3
35,2.348579e-03,4.615148e-03,13945.6
36,2.737904e-03,0.000000e+00,14353.6
37,2.761239e-03,0.000000e+00,14757.8
38,3.235292e-03,0.000000e+00,15163.4
39,2.042490e-03,0.000000e+00,15569.4
40,2.519719e-03,2.958853e-03,15988.8
41,2.487990e-03,0.000000e+00,16390.2
42,2.519675e-03,0.000000e+00,16793.9
43,2.589138e-03,0.000000e+00,17198.1
44,1.513623e-03,0.000000e+00,17603.4
45,1.792464e-03,3.085410e-03,18021.1
46,2.514772e-03,0.000000e+00,18423.5
47,2.190802e-03,0.000000e+00,18831.2
48,2.265013e-03,0.000000e+00,19238.4
49,1.584964e-03,0.000000e+00,19641.5
50,2.365344e-03,1.390278e-02,20056.8
51,2.105452e-03,0.000000e+00,20457.7
52,1.586982e-03,0.000000e+00,20858.8
53,1.527629e-03,0.000000e+00,21259.6
54,2.400222e-03,0.000000e+00,21660.8
55,2.017466e-03,3.965189e-03,22078.4
56,1.598518e-03,0.000000e+00,22484.6
57,2.324316e-03,0.000000e+00,22913.6
58,1.544129e-03,0.000000e+00,23324.6
59,1.627499e-03,0.000000e+00,23759.1
60,2.248991e-03,5.266610e-03,24206.0
61,1.453528e-03,0.000000e+00,24607.0
62,2.127006e-03,0.000000e+00,25009.7
63,1.370060e-03,0.000000e+00,25410.9
64,2.064014e-03,0.000000e+00,25829.5
65,1.905619e-03,2.205912e-03,26266.9
66,1.250421e-03,0.000000e+00,26713.0
67,2.048939e-03,0.000000e+00,27136.9
68,1.517765e-03,0.000000e+00,27552.1
69,1.628404e-03,0.000000e+00,27955.4
70,1.606631e-03,1.852831e-03,28372.1
71,1.399426e-03,0.000000e+00,28776.5
72,1.475023e-03,0.000000e+00,29210.9
73,1.443991e-03,0.000000e+00,29660.7
74,2.071345e-03,0.000000e+00,30112.0
75,1.423470e-03,2.728690e-03,30567.6
76,1.846284e-03,0.000000e+00,30984.2
77,1.542863e-03,0.000000e+00,31400.5
78,2.160819e-03,0.000000e+00,31816.7
79,1.474753e-03,0.000000e+00,32235.6
80,1.143693e-03,2.247330e-03,32667.7
81,1.417680e-03,0.000000e+00,33086.5
82,1.977076e-03,0.000000e+00,33506.9
83,1.069440e-03,0.000000e+00,33920.9
