epoch,train_loss,val_loss,elapsed_s
0,4.212559e+00,5.353098e-01,50.1
1,2.826247e-01,0.000000e+00,98.3
2,1.563262e-01,0.000000e+00,146.5
3,9.180484e-02,0.000000e+00,194.6
4,7.344119e-02,0.000000e+00,242.7
5,7.741886e-02,1.579225e-01,292.7
6,4.985011e-02,0.000000e+00,340.8
7,3.744321e-02,0.000000e+00,389.0
8,2.489762e-02,0.000000e+00,437.2
9,2.241052e-02,0.000000e+00,485.3
10,1.889609e-02,5.439006e-02,535.1
11,1.342232e-02,0.000000e+00,583.3
12,7.482611e-03,0.000000e+00,631.5
13,1.494138e-02,0.000000e+00,679.6
14,6.449708e-03,0.000000e+00,727.8
15,3.578707e-03,7.140681e-03,777.8
16,6.335023e-03,0.000000e+00,825.9
17,5.200561e-03,0.000000e+00,874.0
18,6.379126e-03,0.000000e+00,922.2
19,4.780722e-03,0.000000e+00,970.4
20,2.202159e-03,3.420301e-03,1020.4
21,1.765287e-03,0.000000e+00,1068.6
22,1.909593e-02,0.000000e+00,1116.9
23,4.022671e-03,0.000000e+00,1165.1
24,1.734223e-03,0.000000e+00,1213.3
25,1.050568e-01,1.052434e+00,1263.1
26,7.603306e-02,0.000000e+00,1311.3
27,1.858817e-02,0.000000e+00,50.0
28,8.433235e-03,0.000000e+00,99.5
29,4.957553e-03,0.000000e+00,148.9
30,3.235974e-03,1.309172e-02,200.0
31,1.581003e-03,0.000000e+00,249.3
32,1.892539e-03,0.000000e+00,298.6
33,6.816103e-03,0.000000e+00,348.0
34,1.484776e-03,0.000000e+00,397.4
35,1.239488e-03,5.237856e-03,448.3
36,1.066114e-03,0.000000e+00,497.7
37,1.278499e-03,0.000000e+00,547.1
38,1.059213e-03,0.000000e+00,596.5
39,9.151047e-04,0.000000e+00,645.7
40,9.232622e-04,7.109200e-03,696.7
41,5.436349e-03,0.000000e+00,746.1
42,3.780591e-03,0.000000e+00,795.5
43,1.062942e-03,0.000000e+00,844.9
44,7.057644e-04,0.000000e+00,894.3
45,1.160976e-03,2.080818e-03,945.2
46,1.097060e-03,0.000000e+00,994.6
47,6.194392e-04,0.000000e+00,1044.0
48,3.594492e-02,0.000000e+00,1093.5
49,3.704351e-02,0.000000e+00,1142.9
50,3.004763e-02,8.094552e-02,1193.8
51,2.593851e-02,0.000000e+00,1243.2
52,2.006969e-02,0.000000e+00,1292.6
53,9.638608e-03,0.000000e+00,1342.0
54,6.446014e-03,0.000000e+00,1391.3
55,7.920357e-03,1.350139e-02,1442.3
56,3.420890e-03,0.000000e+00,1491.7
57,1.891365e-03,0.000000e+00,1541.1
58,1.311167e-03,0.000000e+00,1590.5
59,1.707135e-03,0.000000e+00,1639.9
60,1.321784e-03,1.132547e-02,1690.8
61,6.922186e-03,0.000000e+00,1740.1
62,6.385569e-03,0.000000e+00,1789.5
63,1.583407e-03,0.000000e+00,1839.0
64,1.148108e-03,0.000000e+00,1888.3
65,9.897766e-04,1.368183e-02,1939.2
66,8.534089e-04,0.000000e+00,1988.5
67,8.022797e-04,0.000000e+00,2038.0
68,7.380591e-03,0.000000e+00,2087.4
69,1.442937e-03,0.000000e+00,2136.8
70,7.214340e-04,6.676614e-03,2187.8
71,7.399835e-04,0.000000e+00,2237.1
72,7.423675e-03,0.000000e+00,2286.5
73,3.483491e-03,0.000000e+00,2335.9
74,2.281123e-03,0.000000e+00,2385.1
75,1.517771e-03,5.103561e-03,2436.1
76,1.057675e-03,0.000000e+00,2485.6
77,1.027002e-03,0.000000e+00,2535.0
78,1.026544e-03,0.000000e+00,2584.4
